ingredient	target
[(1S,2R,4R,5R,6S,8R,10S,11S,12R,14R,15S,16S,19S,21R)-4-acetyloxy-6-(furan-3-yl)-12,16,19-trihydroxy-5,11,15-trimethyl-3-oxo-9,17-dioxahexacyclo[13.3.3.01,14.02,11.05,10.08,10]henicosan-21-yl] acetate	STAT3
[(2S,3R)-4-(dimethylamino)-3-methyl-1,2-diphenylbutan-2-yl] propanoate	GRIN3A|CES1|OPRM1|OPRK1|GRIN2D|OPRD1|GRIN2C|GRIN3B|GRIN2A|GRIN1|GRIN2B
(4E,7S,8R,11S,16R,21S)-11-[(2R,4R,5S,6R)-4-hydroxy-5-[(2S,4S,5S,6R)-4-hydroxy-5-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-6-methyloxan-2-yl]oxy-6-methyloxan-2-yl]oxy-1,8-dimethyl-2,18,22-trioxapentacyclo[17.2.1.04,21.07,16.08,13]docosa-4,13-diene-3,17-dione	IL6|NFKB1|NOS2|ISYNA1|MAPK1|PTGS2|CCL2|TNF|PTGES|EPHB1
(2S,4aS,6aR,6aS,6bR,8aR,10S,12aS,14bR)-10-hydroxy-2,4a,6a,6b,9,9,12a-heptamethyl-13-oxo-3,4,5,6,6a,7,8,8a,10,11,12,14b-dodecahydro-1H-picene-2-carboxylic acid	HSD11B1|HSD11B2|HSP90AA1
(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid	NR1I2|GPBAR1|AKR1C2|NR1H4|OAS3|APOB|FGF21|ICAM1|SNAI1|APOF|HNF1A|CDH1|ABCB4|CYP7A1|SLC2A4|SLCO1B3|SLC10A2|ALOX12|CES2|HMGCR|ZFHX3|FABP6|PTPN11|NR5A2|POU2F1|SREBF1|VCAM1|PPARA|CYP8B1|ALAS1|LDLR|HNF4A|PTGS2|MTTP|ALOX15|NR0B2|ATF4|NLRP3|CFTR|FGF19|PCSK9|GLP1R|DIO2|CCK|ABCB11|ERBB2|MAPK1|EGF|NFKB1
5,8-dihydroxynaphthalene-1,4-dione	UHRF1|ROR1
(2S)-6-[(1S,5R,6S)-6-(2,4-dihydroxybenzoyl)-5-(2,4-dihydroxyphenyl)-3-(4-methylpent-3-enyl)cyclohex-2-en-1-yl]-2-(2,4-dihydroxyphenyl)-5,7-dihydroxy-2,3-dihydrochromen-4-one	XIAP
3,5-dioxa-11-azapentacyclo[10.7.1.02,6.08,20.014,19]icosa-1(20),2(6),7,9,11,14,16,18-octaen-13-one	VEGFA
(6aR)-1,2-dimethoxy-6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline	SLC2A4|AKT1|SNAI2|SOX2|STAT3|PPARA|NOS3
(6aS)-1,10-dimethoxy-6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-2,9-diol	AGTR1|NOS3|ROS1|BMP4
[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] dihydrogen phosphate	MGAT5B
2-[(2R,6S)-6-[(2S)-2-hydroxy-2-phenylethyl]-1-methylpiperidin-2-yl]-1-phenylethanone	CHRNA1|CHRNA2|CHRNA3|CHRNA4|CHRNA5|CHRNA6|CHRNA7|CHRNA9|CHRNA10|CHRNB1|CHRNB2|CHRNB3|CHRNB4|CHRND|CHRNE|CHRNG|SLC18A2
4,5-dihydroxy-9,10-dioxoanthracene-2-carboxylic acid	ALKBH1|KRT14|TLR4|PPARG|DDIT3|EGFR|UCP1|STAT3|JUN|MSR1|FTO|TNF|CASP3|RAC1|MMP9|GLP1R|BAX|BCL2|PARP1|DNMT1|DNMT3A|KL|IL6|CASP1|IKBKB|IL1B
(2S,3R,4S,5S,6R)-2-[4-[(3R,3aR,6S,6aR)-3-(3,4-dimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]-2-methoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	PRKAA1
5-[[(3S,3aR,6R,6aR)-3-(1,3-benzodioxol-5-yl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]oxy]-1,3-benzodioxole	ACHE|NOS2
(3S,4aR,6aR,6bS,8aS,12aS,14aR,14bR)-8a-(hydroxymethyl)-4,4,6a,6b,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-ol	NELFCD|MAPK1|Hand2
2-(2-hydroxy-1H-indol-3-yl)indol-3-one	AHR
(1R,3aS,5aS,5bR,7aR,8R,11aR,11bR,13aR,13bR)-9-[(2S,3R,4S,5S)-4,5-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-8-(hydroxymethyl)-5a,5b,8,11a-tetramethyl-1-prop-1-en-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylic acid	GRIA1|GRIN1|GRIA2
(1S,3Z,5R,9S,12Z)-3,12-dimethyl-8-methylidene-6,18-dioxatricyclo[14.2.1.05,9]nonadeca-3,12,16(19)-triene-7,17-dione	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|STAT3|CTNNB1
(3R)-3,7-dimethyloct-6-en-1-ol	PTGS2
5-hydroxy-2-methylnaphthalene-1,4-dione	TRPA1|NOX1|CYP1A2|NFKB1|IL6|CDC25A|IL17A|BAX|TXNRD1|EP300|IL2|NOX4|BCL2|SRC|AKT1|IL4|IFNG|STAT3|CXCR4|NFE2L2|CYP2J2|CYBB|CYP2E1|FGF2|POU5F1|NANOG|ALDH1A1|CTNNB1|CASP3|PLK1|TNF|MAPK1|MAPK3|DUSP1|DUSP4|FASLG|MAPK8|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PARP1|CYCS
(14S,27R)-22,33-dimethoxy-13,28-dimethyl-2,5,7,20-tetraoxa-13,28-diazaoctacyclo[25.6.2.216,19.13,10.121,25.04,8.031,35.014,39]nonatriaconta-1(33),3(39),4(8),9,16(38),17,19(37),21,23,25(36),31,34-dodecaene	MAP1LC3A|LAMP1|MYO1C|CTSB|CTSD|MTOR|NPC1|ABCC10
1,8-dihydroxy-3-(hydroxymethyl)anthracene-9,10-dione	CCNB1|TP53|IL1B|TNF|CDKN1A|CASP3|CDK2|ESR1|CDK1|BAX|PRKCA|SLC22A6|CCNA2|CRTC2|MMP9|FASN|PRKCD|PRKCE|SLC22A8|MYC|PCNA|TYR|IRF4
1,8-dihydroxy-3-methylanthracene-9,10-dione	P2RX7|PARP1|NKD2|ACTA1
9-[(2R)-2,3-dihydroxy-3-methylbutoxy]-4-methoxyfuro[3,2-g]chromen-7-one	CYP3A4|NR1I2
9-(3-methylbut-2-enoxy)furo[3,2-g]chromen-7-one	CYP3A4|NR1I2|NFKB1|IL10|MCL1|BAK1|BAX
16,17-dimethoxy-5,7-dioxa-13-azapentacyclo[11.8.0.02,10.04,8.015,20]henicosa-1(21),2,4(8),9,15(20),16,18-heptaene	ERG
(2S,3R,11bS)-2-[[(1R)-6,7-dimethoxy-1,2,3,4-tetrahydroisoquinolin-1-yl]methyl]-3-ethyl-9,10-dimethoxy-2,3,4,6,7,11b-hexahydro-1H-benzo[a]quinolizine	CD40|ABCB1|BCL2L1|MAPK1|CASP7|CASP3|MMP2|MMP9
7-methoxy-8-(3-methylbut-2-enyl)chromen-2-one	ABCB1|SMAD1|ICAM1|DGAT1|TNF|NFKB1|CASP3|NFKBIA|IL6|HMGCR|FASN|AKT1|MPO|BACE1|MIR107|VCAM1|MAPK1|VEGFA|APP|ERCC1|PTGS2|CTNNB1|DIABLO|PTK2|BMP2|STAT3|NOTCH1|IL13|IL5|TGFB1|EDN1|NFE2L2|ITGA5|ITGB5|ITGA3|TRPV3|NEU1
(1R,9S)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one	CHRNA4
(6R)-6-[(5S)-6-methyl-7,8-dihydro-5H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl]-6H-furo[3,4-g][1,3]benzodioxol-8-one	GRM5|GABRB3|GJB1|GABRG2|GABRG1|GJA1|GNRHR|PDE4A|FOS|GRIN2D|GABRR3|GABRA3|GABARAP|GRM1|GRIA2
5,7-dihydroxy-2-(4-hydroxyphenyl)-8-(3-methylbut-2-enyl)chromen-4-one	ESR2
2-phenyl-2,3-dihydrochromen-4-one	RPS6KA3|MAOB
(2S,3S,4S)-3-(carboxymethyl)-4-prop-1-en-2-ylpyrrolidine-2-carboxylic acid	TP53|BAG3|SMAD2|BCL2L2|IL1B|BDNF|CCL2|TNF|RELA|CTSB|HRK|CASP3|ITPKA|HRH1|MDM2|BAX|CCR5|SLC5A11|MAP1LC3B|PENK|LIPG|GRIA1|BCL2L11|NPY|BCL2|APOE|YWHAZ|GDNF|IL1RN|BCL2L1|NTF3|PRKAG2|CXCL2|NRCAM|CYP19A1|C5AR1
(5S,6Z)-1-(3-methyloxiran-2-yl)tetradeca-6,13-dien-1,3-diyn-5-ol	NFE2L2|MAPK1|PRKCA|MAPK3
(1R,2S)-2-amino-1-phenylpropan-1-ol	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3
propane-1,2-diol	CYP2E1
propan-1-ol	LYZ
propanoic acid	GPHN|UCP1|FFAR3|FFAR4|GSTO1
(2S)-2-(4-hydroxyphenyl)-7-methoxy-6-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one	FDFT1|AKT1|CDKN1A
2-methyl-5-propan-2-ylphenol	AKT1|TRPM7|AXL|UGT1A9|TRPV3|TRPV1|SLC6A3|NLN
4-(2-hydroxyethyl)phenol	NFKBIA|MTOR|PRKAA1|BDNF
4-hydroxybutanoic acid	GABBR1|GABBR2
methyl (1S,4aS,5aS,6R,10aS)-1-methyl-2'-oxospiro[1,4a,5,5a,7,8,10,10a-octahydropyrano[3,4-f]indolizine-6,3'-1H-indole]-4-carboxylate	NR1I2
(1R,3R,6R,8S,10R,11S,13S,16S,17R)-8-tert-butyl-6,17-dihydroxy-16-methyl-2,4,14,19-tetraoxahexacyclo[8.7.2.01,11.03,7.07,11.013,17]nonadecane-5,15,18-trione	NOS2|ABCB1|UGT1A1|CYP2B6|NR1I2|CYP3A4|ABCC2
5-methylbenzene-1,3-diol	NR1I2
butane-1,4-diamine	POMC|TLR2|PLD1|TNF|NFKB1|RELA
pyrazine-2-carboxylic acid	PAND1
(1R,2R,4S,9R,10S,13S,16R)-2,16-dihydroxy-5,5,9-trimethyl-14-methylidenetetracyclo[11.2.1.01,10.04,9]hexadecane-6,15-dione	AKT1|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|GLIS1
(E)-3-(3,4-dihydroxy-2-methoxyphenyl)-1-[4-hydroxy-3-(3-methylbut-2-enyl)phenyl]prop-2-en-1-one	JAK2
(4S)-4-[bis(7-methoxy-1,3-benzodioxol-5-yl)methyl]-3-methylideneoxolan-2-one	AKT1|MTOR
1-(2-chloroethyl)-3-(1-diethoxyphosphorylethyl)-1-nitrosourea	TXNRD1
(5-hydroxy-4,6-dimethylpyridin-3-yl)methyl phosphate	CRP
(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-nitrososulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid	TJP1|NOS1|ADH5|CFTR|MAT2B
pyridine	GRM5|TTK|SIRT3|DSPP|TEK|BTK
(4aS,6aR,6aS,6bR,8aR,10S,12aR,14bS)-10-hydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid	ICAM1|NQO1|CASP9|HMOX1|CASP3
4,7-dioxadispiro[4.0.46.25]dodeca-1,9-diene-3,8-dione	DCT|TYR|TYRP1
3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carbaldehyde	GLUD1
(4-formyl-5-hydroxy-6-methylpyridin-3-yl)methyl dihydrogen phosphate	PNPO|PLP1|GOT1
3-(furan-2-yl)-2,4-dioxaspiro[5.5]undec-9-ene	IL6|MPO|BAX|CTRC|PRSS1|TNF|BCL2|CASP3
4-(aminomethyl)-5-(hydroxymethyl)-2-methylpyridin-3-ol	GLO1|PCNA|AGER
4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol	PDXK|DDC|IGFBP3|INSR|IGF1|GCK
1-methyl-4-propan-2-yl-2,3-dioxabicyclo[2.2.2]oct-5-ene	CD86|HMOX1|ICAM1
2-diethoxyphosphorylsulfanylethyl(trimethyl)azanium;iodide	ACHE|BCHE
(1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid	PPARG|RARA
benzene-1,2,3-triol	FCER1A|NOS2
1-ethenyl-1-methyl-2,4-bis(prop-1-en-2-yl)cyclohexane	FGF2|MAPK11|CDK1|CDKN1B|RHOA|CCNB1|TP53|HIF1A|EIF4E|EIF4G1|FLT4|VEGFC|TEP1|VEGFA|BCL2|CDKN1A|CASP3
2-[4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoylamino]ethanesulfonic acid	GSKIP|GPBAR1
(2R,3R)-2-(2,4-dihydroxyphenyl)-3,5,7-trihydroxy-8-(5-methyl-2-prop-1-en-2-ylhex-4-enyl)-2,3-dihydrochromen-4-one	CES2
2-oxopropanoic acid	ABAT|SLC16A5|PKM|SLC16A3|SLC16A2|SLC16A6|SLC16A4|SLC16A8|PDHB|AGXT2|SLC16A7|SLC16A1|PC|PKLR|TGFB1|PPARGC1A
(5R,5aR,8aR,9R)-5-hydroxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[5,6-f][1,3]benzodioxol-8-one	TUBA4A|TUBB|TOP2A|TOP2B
(2S)-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-2,3-dihydrochromen-4-one	AURKB|CACNA1B|CAMK4|NOS2|BAX|BACE1|PCNA|VCAM1|ICAM1|TNF|NFKB1|BCL2|CASP3
(3S,8R,9S,10R,13S,14S,17S)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,17-diol	IFI27
(5S,8R,9S,10S,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one	AR|CREB1|NCOA1|TLR4|PPARG|TGFB1|NR4A1|ABCG2|RUNX2|DHCR24|EGR2|PLAT|CASP9|BCL2|MTOR|CASP3|HSD3B1
1,8-dihydroxy-3-methoxy-6-methylanthracene-9,10-dione	PGD
(2S,3R,4R,5R,6S)-2-[(2R,3S,4S,5R,6R)-4-hydroxy-2-(hydroxymethyl)-6-[(1S,2S,4S,5'S,6R,7S,8R,9S,12S,13R,16S)-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-18-ene-6,2'-oxane]-16-yl]oxy-5-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-3-yl]oxy-6-methyloxane-3,4,5-triol	NR1H4|AHR|PRDX1|STAT3|CEBPA|HOTAIR|MITF|LRP5
furo[2,3-h]chromen-2-one	ESR1|CYP1A1
pyridine-2,3-dicarboxylic acid	TNF
2-benzhydryloxy-N,N-dimethylethanamine;8-chloro-1,3-dimethyl-7H-purine-2,6-dione	HRH1
methylsulfanylmethane	SPHK2
2-phenylchromen-4-one	ESRRA|ESRRB|CYP1B1|DLC1|CASP8|PKM|HIF1A|SOCS3|CASP2|CYP1A1|CASP10|CASP9|PRSS50|BCL2|CDKN1A|CASP3|ESR1
4,9-dioxatricyclo[5.3.0.02,6]decane-3,5,8,10-tetrone	HTR1A
2-[4-(3-oxo-1H-isoindol-2-yl)phenyl]butanoic acid	PTGS1|PTGS2
(2S)-2-hydroxypropanoic acid	AHR|ASIC1|AQP4|VEGFA|NR2C2
(4S,5R,9R,10S,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-ol	KDR|VEGFA|FLT1
(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-3,5-dihydroxy-2-[[(1S,2R,4S,5R,8R,9R,10S,13S,14R,17S,18R)-2-hydroxy-9-(hydroxymethyl)-4,5,9,13,20,20-hexamethyl-24-oxahexacyclo[15.5.2.01,18.04,17.05,14.08,13]tetracos-15-en-10-yl]oxy]-6-methyloxan-4-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	NFKBIA|MYC|TP53|TGFB1|IL6|NR3C1|JUN|FOS|RELA|BCL2|TNF|FN1|CDK4
methyl (1S,4aS,7aS)-7-(hydroxymethyl)-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate	CDH1|GSK3B|GSTM1|IDE|TGFB1|VIM|GSTM2|TCF7L2|NFKB1|HMOX1|PLA2G1B|BCL2|MTOR|WNT1|GLP1R|GAP43
[(2R,3R)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-chromen-3-yl] 3,4,5-trihydroxybenzoate	TAS2R39|KEAP1|IRS1|MAPK14
(1S,14S)-17,18-dimethoxy-7,7-dimethyl-2,8,21-trioxapentacyclo[12.8.0.03,12.04,9.015,20]docosa-3(12),4(9),5,10,15,17,19-heptaen-13-one	GSK3B|CDC45|AKT1|PIGK|STAT3|MET|STAT1|NPM1|NFKB1|NEK2|MCM3|AURKB|PTEN|AURKC|IGFBP3|IGF1R|SMAD3|SMAD4|CTNNB1|CDH1|KRT18|TGFB1|SNAI1
3-(4-hydroxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one	ACHE|ALDH2|ESR1|MAOA
N-[(4-hydroxy-3-methoxyphenyl)methyl]-8-methylnonanamide	TRPM8|TRPV1|GAA
(1S,2S,4S,5S,7R,8R,9S,11S,13S)-8-hydroxy-1-methyl-7-propan-2-yl-3,6,10,16-tetraoxaheptacyclo[11.7.0.02,4.02,9.05,7.09,11.014,18]icos-14(18)-en-17-one	CD40|MMP2|TP53|MAPK3|MIR224|ERCC3|CYP1A2|HSPA4|BIRC3|DUSP1|JUN|CHEK1|TNF|NFKB1|RELA|CDKN1A|CASP3|CYP3A4|CD14|CDH1|THBS1|ROCK1|XIAP|C3|IL17A|MAPK8|CD86|IL2|CD1A|BCL2|MMP9|CDK4|TLR4|HSP90AA1|PIGK|VIM|PLAU|IL4|IFNG|STAT3|CXCR4|FOXP3|MAPK1|ADAM10|IL23A|VEGFA|MAPK14|SYP|TGFB1|TNFRSF10B|CD274|PTGS2|CXCL8|PCNA|STAT1|CCNA1|CD80|MCL1|CCND1|FOS|PTK2|CCR7|ZFP36L1|TBP|YAP1|SNAI1|TWIST1|CASP9|BCL2L11|PTEN|MYC|AKT1|MTOR|HDAC1|HDAC2|CDK7|AKR1B1|IL10|IL1B|LRP6|WNT1|CTNNB1|FZD1|ERBB4|HIF1A|IL6|KDR|PROM1|ABCG2|PTGER2|NOS2|IL37|PARP1|CYCS|CASP8|TNFSF10|CFLAR|NFE2L2|MLC1|MIR204|IFNA1|PLAUR|BIRC5|POLR2A|DUSP6|DDX20|SMN1|GEMIN2|ERCC2|DNAH8|HMOX1|CAMKK1|MAGEC3|CXCL12|CAV1|TMEM173|BACH1|PRKAB1|PRKDC|TP53BP1|XRCC5|ARG1|MRC1
(1S,4S,12S,13R,16R,17R)-17-(hydroxymethyl)-12-methyl-8-oxapentacyclo[14.2.1.01,13.04,12.05,9]nonadeca-5(9),6-dien-17-ol	BCL2L11|MCL1|BAX|CCND1|PSG1|PARP1|BID|CASP3|BCL2L1
3,4,5,19-tetramethoxy-9,10-dimethyl-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaene	IL6|PTGS2|IL18|ABCC1|MIR150|ABCB1
(4-prop-1-en-2-ylcyclohexen-1-yl)methanol	TAC1
2-(methylamino)acetic acid	CXCL1|CXCL3|CXCR2|PIK3CG|PTGS1
cyclohepta-2,4,6-trien-1-one	AOX1
(13aR)-2,3,6,7-tetramethoxy-9,11,12,13,13a,14-hexahydrophenanthro[9,10-f]indolizine	AKT1|IFNG|IL6|KDR|MMP2|MAPK1|TNF|VEGFA|CCNA2
(3R)-3-hydroxy-4-(trimethylazaniumyl)butanoate	HDAC9|CPT1A
(1R,3R,6S,7S,8S)-2,2,6,8-tetramethyltricyclo[5.3.1.03,8]undecan-3-ol	RIPK3|TJP1|IDO1|BAX|MUC1|MUC2|TJP2|CLDN1|OCLN|TPH1|MLKL|BCL2
tetradecanoic acid	SIGMAR1|DGKD
N'-(3-aminopropyl)butane-1,4-diamine	PTPN2|ARG1|IL1B|CD80|SOD1|IL12B|NR3C1|MTOR
magnesium;carbonate	GRIN1|GRIN2B|GRIN3B|GRIN2A|GRIN2C|GRIN2D|GRIN3A
N,N'-bis(3-aminopropyl)butane-1,4-diamine	SRC|PRKAA1|ITGAL|MCU|SLC22A4|CASR|CXADR|G6PD|SMO
1,7-bis(4-hydroxy-3-methoxyphenyl)heptane-3,5-diol	HSD3B1
(Z)-5-[(1R,3R,6S)-2,3-dimethyl-3-tricyclo[2.2.1.02,6]heptanyl]-2-methylpent-2-en-1-ol	BCHE|TYR
1-(2-hydroxy-4-methoxyphenyl)ethanone	IL1B|ICAM1|PTEN|TNF|RELA|IKBKB|NFKBIA|BAX|PBK|NOTCH1|TNNI3|IL2|BCL2|MAOA|MAPK1|MIR21|MIR30A|PTGS2|TYR|MAOB|AKT1|MTOR|PPARA|GSK3A
2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-2,3-dihydrochromen-4-one	HMOX1|TBK1|NFE2L2|NQO1
butanedioic acid	ALDH5A1|SUCNR1|CASP3|CTBP1|MMP3|ZEB1
(9R,10S)-3,4,5,14,15,16-hexamethoxy-9,10-dimethyltricyclo[10.4.0.02,7]hexadeca-1(16),2,4,6,12,14-hexaen-9-ol	ABCB1
2-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropanenitrile	BNIP3
(1S,3S,9R,11R)-7-(3,4-dihydroxybenzoyl)-4,4,10,10-tetramethyl-3,9,11-tris(3-methylbut-2-enyl)-5-oxatricyclo[7.3.1.01,6]tridec-6-ene-8,13-dione	IFNG|IL6|TNF
6-[(2S)-2,3-dihydroxy-3-methylbutyl]-7-hydroxychromen-2-one	CYP1A2|PPIG
2-[3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	NR1I3|LCT|ACSL4|SREBF1|COL1A1|ALAD|ACSL1|CYP1A2|SREBF2|GLUL|SI|COL7A1|FOS|FOSL2|HK1|AKR1B1
(1R,3R,6R,7S,8S,9R,10S,11S,13S,16S,17R)-8-tert-butyl-6,9,17-trihydroxy-16-methyl-2,4,14,19-tetraoxahexacyclo[8.7.2.01,11.03,7.07,11.013,17]nonadecane-5,15,18-trione	NR1I2
(1R,5R,6R,7R,9S,11S,12S,13S,14S)-3-amino-14-(hydroxymethyl)-8,10-dioxa-2,4-diazatetracyclo[7.3.1.17,11.01,6]tetradec-3-ene-5,9,12,13,14-pentol	SCN5A|TRPA1|BDKRB2|TRPM8|TRPV2
sulfur dioxide	MAPK1|CAMP|PCNA|PRKACA|GOT2|EPHB1
tetracosanoic acid	DUOX2|NCF1
(3S,5R,8R,9R,10R,12R,13R,14R,17S)-17-[(2S)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,12-diol	MMP2|NOS2
(2S)-2-azaniumyl-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-azaniumyl-4-carboxylatobutanoyl]amino]-3-(carboxymethylamino)-3-oxopropyl]disulfanyl]-1-(carboxymethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoate	STAT3
