Model,Fold,FPR,TPR
XGBoost,5,0.340909,0.570175
XGBoost,5,0.363636,0.570175
XGBoost,5,0.363636,0.614035
XGBoost,5,0.386364,0.614035
XGBoost,5,0.386364,0.622807
XGBoost,5,0.386364,0.640351
XGBoost,5,0.386364,0.649123
XGBoost,5,0.409091,0.649123
XGBoost,5,0.409091,0.657895
XGBoost,5,0.454545,0.657895
XGBoost,5,0.454545,0.701754
XGBoost,5,0.477273,0.701754
XGBoost,5,0.477273,0.745614
XGBoost,5,0.522727,0.745614
XGBoost,5,0.522727,0.754386
XGBoost,5,0.545455,0.754386
XGBoost,5,0.545455,0.771930
XGBoost,5,0.568182,0.771930
XGBoost,5,0.568182,0.789474
XGBoost,5,0.636364,0.789474
XGBoost,5,0.636364,0.798246
XGBoost,5,0.659091,0.798246
XGBoost,5,0.659091,0.824561
XGBoost,5,0.681818,0.824561
XGBoost,5,0.681818,0.833333
XGBoost,5,0.704545,0.833333
XGBoost,5,0.750000,0.833333
XGBoost,5,0.750000,0.859649
XGBoost,5,0.772727,0.859649
XGBoost,5,0.772727,0.894737
XGBoost,5,0.795455,0.894737
XGBoost,5,0.795455,0.912281
XGBoost,5,0.818182,0.912281
XGBoost,5,0.818182,0.921053
XGBoost,5,0.840909,0.921053
XGBoost,5,0.840909,0.956140
XGBoost,5,0.863636,0.956140
XGBoost,5,0.863636,0.964912
XGBoost,5,0.886364,0.964912
XGBoost,5,0.886364,0.973684
XGBoost,5,0.909091,0.973684
XGBoost,5,0.909091,0.982456
XGBoost,5,0.931818,0.982456
XGBoost,5,0.931818,1.000000
XGBoost,5,1.000000,1.000000
Logistic Regression,5,0.000000,0.000000
Logistic Regression,5,0.000000,0.008772
Logistic Regression,5,0.045455,0.008772
Logistic Regression,5,0.068182,0.008772
Logistic Regression,5,0.068182,0.026316
Logistic Regression,5,0.090909,0.026316
Logistic Regression,5,0.090909,0.105263
Logistic Regression,5,0.090909,0.122807
Logistic Regression,5,0.090909,0.157895
Logistic Regression,5,0.090909,0.175439
Logistic Regression,5,0.090909,0.438596
Logistic Regression,5,0.136364,0.438596
Logistic Regression,5,0.136364,0.500000
Logistic Regression,5,0.181818,0.500000
Logistic Regression,5,0.181818,0.561404
Logistic Regression,5,0.204545,0.561404
Logistic Regression,5,0.204545,0.596491
Logistic Regression,5,0.227273,0.596491
Logistic Regression,5,0.227273,0.640351
Logistic Regression,5,0.295455,0.640351
Logistic Regression,5,0.295455,0.675439
Logistic Regression,5,0.318182,0.675439
Logistic Regression,5,0.318182,0.701754
Logistic Regression,5,0.340909,0.701754
Logistic Regression,5,0.340909,0.719298
Logistic Regression,5,0.386364,0.719298
Logistic Regression,5,0.386364,0.736842
Logistic Regression,5,0.409091,0.736842
Logistic Regression,5,0.409091,0.754386
Logistic Regression,5,0.431818,0.754386
Logistic Regression,5,0.431818,0.771930
Logistic Regression,5,0.454545,0.771930
Logistic Regression,5,0.454545,0.807018
Logistic Regression,5,0.500000,0.807018
Logistic Regression,5,0.500000,0.824561
Logistic Regression,5,0.522727,0.824561
Logistic Regression,5,0.522727,0.850877
Logistic Regression,5,0.545455,0.850877
Logistic Regression,5,0.545455,0.859649
Logistic Regression,5,0.568182,0.859649
Logistic Regression,5,0.568182,0.894737
Logistic Regression,5,0.590909,0.894737
Logistic Regression,5,0.590909,0.912281
Logistic Regression,5,0.590909,0.921053
Logistic Regression,5,0.636364,0.921053
Logistic Regression,5,0.636364,0.947368
Logistic Regression,5,0.681818,0.947368
Logistic Regression,5,0.681818,0.956140
Logistic Regression,5,0.750000,0.956140
Logistic Regression,5,0.750000,0.973684
Logistic Regression,5,0.863636,0.973684
Logistic Regression,5,0.863636,0.991228
Logistic Regression,5,1.000000,0.991228
Logistic Regression,5,1.000000,1.000000
Naive Bayes,5,0.000000,0.000000
Naive Bayes,5,0.000000,0.008772
Naive Bayes,5,0.022727,0.008772
Naive Bayes,5,0.022727,0.017544
Naive Bayes,5,0.022727,0.035088
Naive Bayes,5,0.022727,0.078947
Naive Bayes,5,0.068182,0.078947
Naive Bayes,5,0.068182,0.096491
Naive Bayes,5,0.068182,0.219298
Naive Bayes,5,0.090909,0.219298
Naive Bayes,5,0.090909,0.368421
Naive Bayes,5,0.136364,0.368421
Naive Bayes,5,0.136364,0.456140
Naive Bayes,5,0.159091,0.456140
Naive Bayes,5,0.159091,0.526316
Naive Bayes,5,0.181818,0.526316
Naive Bayes,5,0.181818,0.535088
Naive Bayes,5,0.204545,0.535088
Naive Bayes,5,0.204545,0.570175
Naive Bayes,5,0.227273,0.570175
Naive Bayes,5,0.227273,0.596491
Naive Bayes,5,0.272727,0.596491
Naive Bayes,5,0.272727,0.614035
Naive Bayes,5,0.295455,0.614035
Naive Bayes,5,0.295455,0.631579
Naive Bayes,5,0.318182,0.631579
Naive Bayes,5,0.318182,0.649123
Naive Bayes,5,0.340909,0.649123
Naive Bayes,5,0.340909,0.675439
Naive Bayes,5,0.363636,0.675439
Naive Bayes,5,0.363636,0.684211
Naive Bayes,5,0.409091,0.684211
Naive Bayes,5,0.409091,0.710526
Naive Bayes,5,0.431818,0.710526
Naive Bayes,5,0.431818,0.728070
Naive Bayes,5,0.454545,0.728070
Naive Bayes,5,0.454545,0.736842
Naive Bayes,5,0.500000,0.736842
Naive Bayes,5,0.500000,0.771930
Naive Bayes,5,0.522727,0.771930
Naive Bayes,5,0.522727,0.807018
Naive Bayes,5,0.545455,0.807018
Naive Bayes,5,0.545455,0.815789
Naive Bayes,5,0.590909,0.815789
Naive Bayes,5,0.590909,0.833333
Naive Bayes,5,0.613636,0.833333
Naive Bayes,5,0.613636,0.850877
Naive Bayes,5,0.613636,0.885965
Naive Bayes,5,0.636364,0.885965
Naive Bayes,5,0.636364,0.894737
Naive Bayes,5,0.681818,0.894737
Naive Bayes,5,0.681818,0.903509
Naive Bayes,5,0.704545,0.903509
Naive Bayes,5,0.704545,0.921053
Naive Bayes,5,0.727273,0.921053
Naive Bayes,5,0.727273,0.929825
Naive Bayes,5,0.772727,0.929825
Naive Bayes,5,0.772727,0.938596
Naive Bayes,5,0.818182,0.938596
Naive Bayes,5,0.818182,0.964912
Naive Bayes,5,0.886364,0.964912
Naive Bayes,5,0.886364,0.982456
Naive Bayes,5,0.909091,0.982456
Naive Bayes,5,0.909091,1.000000
Naive Bayes,5,1.000000,1.000000
KNN,5,0.000000,0.000000
KNN,5,0.045455,0.245614
KNN,5,0.113636,0.456140
KNN,5,0.318182,0.666667
KNN,5,0.477273,0.833333
KNN,5,0.636364,0.885965
KNN,5,0.750000,0.938596
KNN,5,0.840909,1.000000
KNN,5,0.954545,1.000000
KNN,5,1.000000,1.000000
SVM,5,0.000000,0.000000
SVM,5,0.000000,0.008772
SVM,5,0.000000,0.017544
SVM,5,0.045455,0.017544
SVM,5,0.090909,0.017544
SVM,5,0.090909,0.026316
SVM,5,0.090909,0.043860
SVM,5,0.090909,0.166667
SVM,5,0.090909,0.184211
SVM,5,0.090909,0.342105
SVM,5,0.113636,0.342105
SVM,5,0.113636,0.350877
SVM,5,0.136364,0.350877
SVM,5,0.136364,0.377193
SVM,5,0.181818,0.377193
SVM,5,0.181818,0.473684
SVM,5,0.204545,0.473684
SVM,5,0.204545,0.543860
SVM,5,0.227273,0.543860
SVM,5,0.227273,0.605263
SVM,5,0.250000,0.605263
SVM,5,0.250000,0.649123
SVM,5,0.272727,0.649123
SVM,5,0.272727,0.657895
SVM,5,0.295455,0.657895
SVM,5,0.295455,0.728070
SVM,5,0.318182,0.728070
SVM,5,0.318182,0.754386
SVM,5,0.340909,0.754386
SVM,5,0.340909,0.771930
SVM,5,0.386364,0.771930
SVM,5,0.386364,0.807018
SVM,5,0.409091,0.807018
SVM,5,0.409091,0.815789
SVM,5,0.431818,0.815789
SVM,5,0.431818,0.824561
SVM,5,0.500000,0.824561
SVM,5,0.500000,0.868421
SVM,5,0.522727,0.868421
SVM,5,0.522727,0.885965
SVM,5,0.522727,0.903509
SVM,5,0.613636,0.903509
SVM,5,0.613636,0.912281
SVM,5,0.659091,0.912281
SVM,5,0.659091,0.921053
SVM,5,0.704545,0.921053
SVM,5,0.704545,0.947368
SVM,5,0.750000,0.947368
SVM,5,0.750000,0.973684
SVM,5,0.795455,0.973684
SVM,5,0.795455,0.991228
SVM,5,0.909091,0.991228
SVM,5,0.909091,1.000000
SVM,5,1.000000,1.000000
